id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-12-22T23:49:54;RAM Focused;PAID;CASH_ON_DELIVERY;2020-12-23T08:12:01;64379;Australia 1080p Intranet;1
2;2020-12-22T21:04:10;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-12-23T00:59:51;8068;Baby;2
3;2020-12-23T06:45:58;monitor;CANCELLED;CREDIT_CARD;2020-12-22T22:37:20;97394;Rubber synergy program;3
4;2020-12-22T19:20:00;EXE parse strategic;CANCELLED;PAYPAL;2020-12-22T23:25:10;2286;HTTP;4
5;2020-12-22T15:35:11;black Awesome;PAID;CASH_ON_DELIVERY;2020-12-22T15:37:05;49531;Agent SDD auxiliary;5
6;2020-12-23T02:07:45;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-12-22T17:59:55;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-12-23T04:41:21;back up Toys;ISSUED;PAYPAL;2020-12-23T07:37:00;10756;Arizona Awesome Fresh Soap system;7
8;2020-12-23T01:13:31;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-12-23T01:02:34;50263;deploy;8
9;2020-12-22T19:03:29;Credit Card Account;CANCELLED;CREDIT_CARD;2020-12-23T05:26:38;308;payment Fantastic Fresh Soap;9
10;2020-12-23T05:27:52;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-12-23T09:13:41;94911;Granite Rubber Pizza;10
